ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Returned
1,D,Flight,9,5,97.6,12,high,Male,23.86,3598,1
2,E,Road,3,4,824.01,18,medium,Female,16.26,2011,0
3,C,Ship,8,4,384.8,3,low,Female,13.17,1208,1
4,E,Road,9,3,152.68,15,low,Male,8.05,1412,0
5,E,Flight,4,5,498.26,11,medium,Male,16.43,422,0
6,B,Ship,0,4,80.8,15,medium,Female,20.48,2922,0
7,C,Road,4,4,526.88,16,high,Male,17.98,4861,1
8,C,Flight,4,5,29.16,15,low,Female,6.77,175,0
9,C,Flight,4,5,731.33,6,low,Male,27.09,1566,0
10,E,Ship,1,1,493.09,1,low,Female,11.71,4823,0
11,D,Road,5,4,464.35,8,high,Male,26.55,4891,0
12,C,Ship,4,3,204.23,11,medium,Female,11.92,2213,0
13,E,Ship,1,2,367.65,12,high,Male,1.15,3275,0
14,B,Road,9,2,190.05,13,high,Female,22.14,143,0
15,D,Road,7,5,738.04,11,low,Male,27.6,1858,0
16,B,Road,5,3,207.04,2,medium,Male,7.64,2078,1
17,D,Flight,9,1,620.59,15,low,Male,16.27,3016,0
18,E,Flight,2,4,286.81,17,high,Female,24.23,1541,0
19,A,Road,8,1,660.41,2,high,Male,9.63,1263,1
20,D,Flight,3,3,545.05,8,medium,Male,8.59,3305,0
21,B,Ship,2,1,429.2,14,medium,Male,12.33,1758,0
22,E,Road,6,5,676.27,7,medium,Female,16.52,3659,0
23,D,Ship,7,2,421.56,9,low,Female,16.58,323,0
24,A,Road,6,5,823.16,2,high,Male,14.59,711,0
25,A,Ship,0,4,732.3,4,medium,Female,24.61,4275,0
26,C,Road,0,5,545.23,5,medium,Male,4.59,1532,0
27,C,Ship,4,3,878.29,13,medium,Male,2.55,2880,1
28,B,Road,7,3,830.57,18,low,Female,5.06,2067,0
29,D,Road,9,4,536.52,17,low,Male,21.12,3146,1
30,D,Flight,2,4,77.76,6,low,Male,4.36,1563,0
31,C,Ship,7,2,570.34,3,low,Male,9.68,927,0
32,D,Flight,2,1,361.7,2,medium,Female,26.39,4303,0
33,D,Ship,3,2,544.71,12,high,Female,4.21,4308,0
34,A,Flight,9,5,650.66,3,high,Male,15.85,2015,1
35,C,Road,6,1,648.39,8,medium,Male,15.18,3697,1
36,E,Flight,2,4,676.79,5,high,Female,1.02,1992,0
37,C,Flight,3,3,682.48,10,low,Female,3.46,2277,1
38,E,Road,7,5,118.19,8,low,Female,28.51,2952,0
39,A,Flight,3,2,199.8,8,low,Female,28.83,2249,1
40,B,Road,8,4,634.24,18,medium,Male,26.24,1361,1
41,D,Ship,3,1,414.09,0,low,Female,12.96,2425,0
42,A,Flight,3,1,765.22,3,low,Male,17.79,4181,1
43,D,Road,4,3,133.66,0,low,Male,24.72,1896,0
44,B,Road,0,4,199.61,12,high,Male,20.28,1727,0
45,B,Flight,6,4,562.88,15,medium,Female,26.85,1682,0
46,A,Ship,8,5,505.74,11,medium,Female,9.47,1978,0
47,B,Flight,8,5,273.73,0,medium,Female,18.72,3548,0
48,E,Road,0,1,414.26,14,high,Female,17.01,352,0
49,B,Ship,5,2,44.63,4,low,Female,29.54,1957,0
50,D,Flight,2,1,46.67,0,medium,Male,26.34,1893,0
51,D,Road,3,5,103.98,16,medium,Female,4.96,3445,1
52,D,Flight,7,5,581.02,7,low,Male,1.77,3402,1
53,D,Ship,3,5,865.08,7,low,Male,13.39,3902,0
54,E,Ship,7,1,267.62,14,high,Female,16.37,913,0
55,C,Ship,3,4,43.6,11,medium,Female,23.7,2856,0
56,A,Ship,8,2,711.54,15,medium,Male,4.79,2924,0
57,D,Ship,5,2,856.8,17,medium,Female,27.6,4849,1
58,B,Flight,0,5,146.79,2,high,Male,17.15,2852,0
59,D,Ship,9,3,391.89,3,medium,Male,25.28,1419,0
60,B,Ship,1,1,167.15,14,medium,Female,25.09,3068,0
61,B,Road,6,4,115.29,13,medium,Male,28.56,1955,0
62,D,Ship,9,5,651.69,0,high,Male,19.76,1795,0
63,E,Road,6,3,967.86,19,medium,Female,23.51,3597,0
64,B,Road,2,5,681.38,16,medium,Male,24.62,756,0
65,B,Road,0,3,984.97,16,high,Female,14.04,4869,0
66,D,Flight,7,2,440.05,17,medium,Female,12.97,4242,1
67,B,Flight,9,3,898.89,0,low,Male,28.4,4877,0
68,B,Road,9,2,213.03,1,high,Male,2.01,3521,0
69,D,Flight,6,2,126.73,15,low,Female,28.59,4699,0
70,D,Ship,9,1,705.49,13,low,Male,17.35,208,0
71,A,Flight,7,3,377.69,19,medium,Female,8.84,1304,0
72,E,Ship,0,4,324.51,19,medium,Male,16.72,3137,0
